source_id,price_level
10003583651993080880,1
10004608666468214907,2
10013996276798556964,2
10015572513968130224,1
10027384592122843799,2
10031287182173446612,1
10031451402263435216,2
10035064399893645692,2
10040561722196699172,2
10041173435943460379,2
10041275879185901332,1
1005150174791382407,1
10055954475851320158,2
1006859454917429233,1
10070300131625472767,1
10087067044542218628,1
10088182885821367608,1
10099759495053964094,1
10120022267352101755,1
10120840805938324149,1
1012261819531840246,1
10128475563573460143,2
10131291608176657319,1
10138642521192878336,1
10138785551962982254,1
10138954398742053224,2
10140448134795718214,1
10140729140834696318,1
1014797344167142200,1
10161361082509645308,1
10161991376116800545,1
10165489032225788020,2
10167896717264857915,1
10168800723030959634,2
1018323039795759661,1
10183458881659669852,1
10184971697870142464,1
10191609979113332152,1
10192118233811573317,1
10195086094041713736,1
10197863049933132260,1
10206441513039382770,2
10209270728920918479,2
10210607429007501225,1
10227440425790190850,2
10228097275678917676,2
10234767803398996406,2
10253227355796702467,1
10267351398430717017,2
10271396427131226500,1
10280180651373432062,2
10282217311809174655,2
10286118392798541940,1
10286169521518261014,1
10286644270155756399,1
10286845084124848192,2
10288744803551195978,2
10289469108301885112,2
10304400730420711727,1
10306142542032312368,1
10307236667605385237,1
10310741108020122940,2
10320264691692117230,1
10321779764526864817,1
10323268059243325962,1
10323274074912602871,2
10324752630668398036,1
10329937270178798076,2
10330776774202205581,1
10338290073944932578,2
10354330098494096109,2
10356676362427792229,2
10361325185914052086,1
10363462523398887485,3
10366085341954844986,2
10370209792781481058,1
103779950835981864,1
10378134636329997525,1
10380147734571719302,1
10382060263770603717,2
10391586750145009812,1
10398293682046258677,3
1040146052229988894,1
1040182954896204800,1
1040357166306732142,1
10407935950083038939,1
10423394179537877468,1
10433194816312481647,1
10435569294922879318,2
10436619272732996854,1
10439698903971334426,1
1044417735065062573,2
10446163237196328187,2
10449122774599438889,1
10451899875016928930,1
10470623404747703821,1
10475887542494303399,2
10476798439997480191,1
10493438115816882506,1
10497715953372204504,1
10504615937996374680,2
10511929160260628768,2
10524872645203351694,1
10525702840286023651,2
10527639481143292621,1
10529081109712659278,2
10529234806565848593,1
10529437275391408937,1
10530839730094111000,1
10533856361619860641,2
10540483895057393339,1
10541592474893846663,2
10544780013390906576,2
10545218171466877520,2
10547644029542551396,2
10562520505978267074,1
10569759758035572043,1
1057623218828364231,2
10577737547831874672,1
10589095697172006370,2
10594699552716942961,2
1059589862132142587,1
10606598288356306131,1
10612172774970268746,2
10614794787613351803,2
10621984046480163114,2
10622567852621606315,1
10625354576274677326,1
10629130796129624427,1
10635376936420681323,2
1064514624707651879,2
10652391522643912668,1
10682468724171428149,1
10693432594019300267,1
10703312050288667633,1
10703856336283623199,1
10705437380229489187,1
10706040779659654805,2
10710689893549355291,3
10712347566890339967,1
10713451513445334197,1
1072935113145584888,1
10730806643478758596,1
10732980777820931462,2
10735836507898653578,2
10735899809831466079,2
10742541956252466020,1
10744406252997080505,1
10745054615432757856,1
10745540470720848219,1
10748320999917981911,1
10753584975584940965,2
10754866019775431331,1
10756847931868196390,1
10759507000466549840,2
10767146991640333288,3
10767675796967934352,1
10777427611305821568,2
10779561001884403903,2
1078310148573529770,1
10788031080248532079,1
10799084208631482900,2
10801331472822099412,2
1080467440173498069,2
10805433720135544860,1
10809216079775188110,2
10832865580572934415,2
10833587308604343655,2
10836235702814726052,1
10846406721276802744,1
10872737234745763130,1
10873456291019467921,2
10876034001944062068,1
10876737990108554527,2
10884195894516556368,3
1089081205062269331,2
1089740380522805724,2
10904989870184519692,2
10907910138674251816,1
10909420039635308073,2
10913387477241367196,1
1091446959245810464,1
10921158194878254209,2
10923262392827552517,1
10925678567103231587,1
10930921538109337094,2
10939031921731070032,1
10940056023235448313,1
1094515104680179274,1
1095187125168410412,1
10970598826145175489,1
10980939302432449270,1
1098269206098090912,1
11001516025578524907,1
11004376564897401529,1
11013000467632214385,2
11016778401758920625,2
11020399336266329504,2
11028426950309922633,3
11043845349959327138,1
11046253554490905905,2
11051728239853514277,2
11052853960093837826,1
11058582159341051781,2
11059466543887842506,2
11066697838103129638,2
11067230954151666486,1
11075436968196664533,2
11093495703238183375,1
1110168259177107935,1
11113519602506404234,1
11113724593609845233,2
11113860962888711375,1
1111832464690896861,1
11118583324085697502,1
11119672367078567954,1
11122456790292324477,2
11122847082928134385,1
11126336544318959827,2
1112695810842089886,1
11130174945200452636,1
11130619171747340452,1
11131942122490886096,1
11132661893650321101,1
11137598557234417783,1
11138039557233725844,1
11142695169772483375,2
11148819456435415142,1
11162370320580970770,2
11163101954552252325,1
11164547639585972447,2
11166737983039344465,1
11167674108639150929,2
1117092042417759920,2
11177445251421738449,2
11183847647906359295,1
1118455842829725825,1
11195944255102660358,2
11199958778887483186,1
1120177312381433609,2
11204539985365189237,2
11204672891457291784,1
11208033771439513329,2
11223333197588342837,1
11224724167240296099,1
11227675585568212424,1
11239247921070219028,2
11244980847994683963,1
11252758138658957967,1
11262976105412398288,1
11267880389175432862,1
11269921424525010275,2
11270178747652176679,1
11305511001678645113,1
11305861394973016762,1
11307486444589792037,2
11328021877074808895,2
11339867141530465671,3
11340637271977230557,1
11347935914495054901,2
11353080093087044764,1
11360153142264021547,1
11360243725408276849,1
11363994689756098233,2
11364207580021500351,1
11369466641546747585,1
11370663690256243021,2
11377605161525290454,2
11383918230612769882,1
11389461051288678705,1
11400834476786167627,2
1140508473178671712,2
11405726715725220023,1
11414960073306536470,1
11421084279265947674,2
1142188508606495136,2
11426056164415079446,2
11438330871490881542,1
11440800794495126777,1
11449122189962212275,1
11453656707666003054,1
11471572788807518002,2
11473270408856161361,1
1147343590402103078,2
11478541901664039212,2
11488389590603299361,1
11490096868362076717,2
11490144261323536624,1
11493492686052227754,3
11498471189991110788,2
11500629915346402271,1
11502262078597462817,1
11530546047026144833,1
11539437560484569917,1
11540755065501769744,1
11544129568653093029,1
11548381635564689803,1
115598170393460730,1
11579905286004910755,3
11594038579903409659,1
11596932055314563399,1
11606762769365676797,1
11607001250704134875,1
11609158590271921227,2
11616275715790974781,2
11616821604651780250,1
11670591507730148804,2
11670596705394612590,2
11671909436274033764,2
11674195437943262773,1
11677057418992695834,1
1168279233203361535,1
1169056143123904330,2
11694087027194934992,3
11699975223610886491,1
11700042711050517777,1
11711679779855703934,1
11711814361730572265,2
11711862192228983442,2
11722811127678862567,2
11724197045647617215,1
11733545960185507269,1
11742422247335852611,2
11743274715987942074,2
1174672302297946388,2
1174837284212516770,1
11755836127651522992,1
11762868892263465143,1
11772195401922440760,1
11778768340530391510,1
11782894697805572154,2
11783171105686513571,1
11805895728851779857,2
11807579376329082422,1
11810511592737944574,1
11814626805389743824,1
11819329656411980090,1
11826396789554225402,1
11833620993934918758,2
11837104971398009672,2
11857965377930123267,2
11864037633488924081,1
11868719257014557502,2
11872783108950699993,1
1187687971815400427,1
11882210436831958109,1
11887184804265407350,2
11895775268359259162,1
11905809625023355567,3
11910202216351291245,2
11915064832427759591,1
11918118360168471567,1
11927095761927292918,2
11933307641077143383,2
11938623854530557519,1
11941295635636097276,2
11943642394620546864,2
11944142279147462968,1
11945958389310263186,1
11952205092923217595,1
11966194263147625491,1
11977241733887266241,2
1198099455888825584,2
11986881259804865194,1
11989314549263851518,1
11991241261231358144,3
1199220371109019882,1
11997228489113762424,2
11998338288439345820,1
12010215774069734331,1
12016043847859193806,1
12016531160418703735,1
12023099214993439904,1
12023597608338304357,1
1203714265060081536,1
12053997937651088206,2
12062325737547727256,1
12072508060172373897,2
1207351558714009471,1
12080911587150448346,1
12086859833696793366,1
12088224891337973884,2
12090074958126359024,1
12090402024121442769,2
12099306232860959850,1
12108384534987523426,2
1211138154938074186,1
12113014614375040833,2
12113523804601485577,1
12121237032889715361,1
12121944110974668563,1
12123615693197449298,1
12127652448970442125,1
12130534796147760043,1
12133031732161742365,1
12135513905721915141,1
12146972582504206507,1
1216625288892857650,1
12170522049383134073,2
12172342413253268032,3
1217290986084881161,1
12188551391554091629,1
12193333454775592714,2
12195857045634198557,2
12201746011470326876,1
12206179875409686717,1
12213393456083551106,2
12226296895012381684,1
12230582647987486780,2
12253928007929872508,2
12257375760073410470,2
12257389148497354053,2
12275917185134643740,3
12295268724985339262,1
12300264970206319573,1
12300963969046637185,1
12301367054288566052,1
12302015260691065451,2
12303790319306394377,1
12304427506951825441,2
12306818409408896708,2
12308506824109409844,1
12317164537981374193,1
12321686477773783517,2
12326291453646334718,3
12327419854490405478,1
12338999414437093267,1
12340260063029417644,1
12345260181620214198,2
12350296528293458160,1
