source_row_index,tripadvisor_id,tripadvisor_url,name,city,raw_cuisine_style,ranking,rating,price_range,number_of_reviews,raw_reviews,embedding_text,latitude,longitude
4371,d1340598,/Restaurant_Review-g187323-d1340598-Reviews-Asra-Berlin.html,Asra,Berlin,,4373.0,4.0,,23,"[['Try for lunch!', 'Dashed optimism in Germany'], ['09/05/2015', '08/24/2015']]",Restaurant name: Asra. City: Berlin. TripAdvisor rating: 4.0 out of 5. Number of reviews: 23. Review snippets: Try for lunch!; Dashed optimism in Germany.,52.507631,13.388766
3022,d9718128,/Restaurant_Review-g187323-d9718128-Reviews-Baltas_Coffee_Shop-Berlin.html,Baltas Coffee Shop,Berlin,['International'],3024.0,4.5,$,5,"[['Very tasty Bakery', 'Friendly coffee shop'], ['08/06/2016', '01/25/2016']]",Restaurant name: Baltas Coffee Shop. City: Berlin. Cuisine and dietary tags: International. Price range: $. TripAdvisor rating: 4.5 out of 5. Number of reviews: 5. Review snippets: Very tasty Bakery; Friendly coffee shop.,52.489758,13.354623
1411,d5523886,/Restaurant_Review-g187323-d5523886-Reviews-Maharaja-Berlin.html,Maharaja,Berlin,['Indian'],1413.0,4.5,$$ - $$$,34,"[['Good value and decent', 'Magical tastes and service'], ['08/20/2017', '08/13/2017']]",Restaurant name: Maharaja. City: Berlin. Cuisine and dietary tags: Indian. Price range: $$ - $$$. TripAdvisor rating: 4.5 out of 5. Number of reviews: 34. Review snippets: Good value and decent; Magical tastes and service.,52.511499,13.347214
1816,d10045105,/Restaurant_Review-g187323-d10045105-Reviews-Thai_Cuisine-Berlin.html,Thai Cuisine,Berlin,,1818.0,4.5,,17,"[['Tasty Thai cuisine', 'Good thai restaurant!'], ['06/12/2017', '01/13/2017']]",Restaurant name: Thai Cuisine. City: Berlin. TripAdvisor rating: 4.5 out of 5. Number of reviews: 17. Review snippets: Tasty Thai cuisine; Good thai restaurant!.,52.545475,13.434507
2802,d1341422,/Restaurant_Review-g187323-d1341422-Reviews-Bogazici-Berlin.html,Bogazici,Berlin,,2804.0,4.5,,19,"[['Small place n tasty food', 'Classic Donner'], ['01/27/2016', '09/03/2015']]",Restaurant name: Bogazici. City: Berlin. TripAdvisor rating: 4.5 out of 5. Number of reviews: 19. Review snippets: Small place n tasty food; Classic Donner.,52.542520,13.366399
2974,d3323241,/Restaurant_Review-g187323-d3323241-Reviews-Essentis_Vegetarisches_Bio_Restaurant_An_Der_Spree-Berlin.html,Essentis Vegetarisches Bio - Restaurant An Der Spree,Berlin,"['Vegetarian Friendly', 'Vegan Options']",2976.0,4.5,$$ - $$$,15,"[['Mr', 'Amazing place.'], ['09/07/2017', '02/09/2016']]","Restaurant name: Essentis Vegetarisches Bio - Restaurant An Der Spree. City: Berlin. Cuisine and dietary tags: Vegetarian Friendly, Vegan Options. Price range: $$ - $$$. TripAdvisor rating: 4.5 out of 5. Number of reviews: 15. Review snippets: Mr; Amazing place..",52.484788,13.352890
2171,d1359957,/Restaurant_Review-g187323-d1359957-Reviews-Speisekombinat-Berlin.html,Speisekombinat,Berlin,"['Mediterranean', 'Grill', 'Italian', 'German', 'European', 'Vegetarian Friendly']",2173.0,3.5,$$ - $$$,130,"[['Pot Luck', 'Food and service verage'], ['11/15/2017', '09/24/2017']]","Restaurant name: Speisekombinat. City: Berlin. Cuisine and dietary tags: Mediterranean, Grill, Italian, German, European, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 3.5 out of 5. Number of reviews: 130. Review snippets: Pot Luck; Food and service verage.",52.504321,13.335448
5676,d10341101,/Restaurant_Review-g187323-d10341101-Reviews-Laden-Berlin.html,Laden,Berlin,,5678.0,3.0,,2,"[[""Don't go here!""], ['05/21/2016']]",Restaurant name: Laden. City: Berlin. TripAdvisor rating: 3.0 out of 5. Number of reviews: 2. Review snippets: Don't go here!.,52.511997,13.450107
3917,d4509925,/Restaurant_Review-g187323-d4509925-Reviews-Babis_Ouzeri-Berlin.html,Babis' Ouzeri,Berlin,['Greek'],3919.0,4.5,,6,"[['Yes - Excellent Lamb Shank', 'The best and softest Lamb shank I ever had...'], ['10/26/2013', '10/23/2013']]",Restaurant name: Babis' Ouzeri. City: Berlin. Cuisine and dietary tags: Greek. TripAdvisor rating: 4.5 out of 5. Number of reviews: 6. Review snippets: Yes - Excellent Lamb Shank; The best and softest Lamb shank I ever had....,52.509813,13.337865
85,d10791492,/Restaurant_Review-g187323-d10791492-Reviews-Umami-Berlin.html,Umami,Berlin,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",86.0,4.5,$,159,"[['Delicious food and cozy atmosphere', 'Delicious food, good value'], ['12/29/2017', '12/18/2017']]","Restaurant name: Umami. City: Berlin. Cuisine and dietary tags: Asian, Vietnamese, Vegetarian Friendly, Vegan Options, Gluten Free Options. Price range: $. TripAdvisor rating: 4.5 out of 5. Number of reviews: 159. Review snippets: Delicious food and cozy atmosphere; Delicious food, good value.",52.517940,13.374268
2376,d12392958,/Restaurant_Review-g187323-d12392958-Reviews-Gelbgold-Berlin.html,Gelbgold,Berlin,['Italian'],2378.0,5.0,$,3,"[[], []]",Restaurant name: Gelbgold. City: Berlin. Cuisine and dietary tags: Italian. Price range: $. TripAdvisor rating: 5.0 out of 5. Number of reviews: 3.,52.556251,13.341158
5852,d983511,/Restaurant_Review-g187323-d983511-Reviews-Call_a_Pizza-Berlin.html,Call a Pizza,Berlin,"['Italian', 'Pizza']",5854.0,3.5,,4,"[['Awesome pizza!!'], ['05/28/2014']]","Restaurant name: Call a Pizza. City: Berlin. Cuisine and dietary tags: Italian, Pizza. TripAdvisor rating: 3.5 out of 5. Number of reviews: 4. Review snippets: Awesome pizza!!.",52.486968,13.391460
2532,d1752279,/Restaurant_Review-g187323-d1752279-Reviews-Scent-Berlin.html,Scent,Berlin,"['German', 'European', 'Grill']",2534.0,4.0,$$ - $$$,34,"[['Good dinner with interesting options.', 'Expect an average service if you are a non...'], ['10/05/2017', '10/11/2016']]","Restaurant name: Scent. City: Berlin. Cuisine and dietary tags: German, European, Grill. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 34. Review snippets: Good dinner with interesting options.; Expect an average service if you are a non....",52.524130,13.456611
6135,d8673833,/Restaurant_Review-g187323-d8673833-Reviews-Aastha-Berlin.html,Aastha,Berlin,['Indian'],6137.0,3.0,$,11,"[['Avoid if you can', 'Great curry!'], ['02/02/2017', '09/24/2016']]",Restaurant name: Aastha. City: Berlin. Cuisine and dietary tags: Indian. Price range: $. TripAdvisor rating: 3.0 out of 5. Number of reviews: 11. Review snippets: Avoid if you can; Great curry!.,52.524057,13.376831
4987,d4104821,/Restaurant_Review-g187323-d4104821-Reviews-Pho_tinh_Ha_noi-Berlin.html,pho tinh - Ha noi,Berlin,['Vietnamese'],4989.0,4.0,,,"[[], []]",Restaurant name: pho tinh - Ha noi. City: Berlin. Cuisine and dietary tags: Vietnamese. TripAdvisor rating: 4.0 out of 5.,52.529381,13.402317
