source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
3156,14522502566892224389,location_3156_14522502566892224389,3156,True,,,
3157,14523188315413670751,location_3157_14523188315413670751,3157,True,,,
3158,14525545112691144557,location_3158_14525545112691144557,3158,True,,,
3159,14527112525943622337,location_3159_14527112525943622337,3159,True,,,
3160,14527421135219601350,location_3160_14527421135219601350,3160,True,,,
3161,14527974499013751724,location_3161_14527974499013751724,3161,True,,,
3162,14530141637285039825,location_3162_14530141637285039825,3162,True,,,
3163,14531391353767053151,location_3163_14531391353767053151,3163,True,,,
3164,14533087382770951375,location_3164_14533087382770951375,3164,True,,,
3165,14534785730319683322,location_3165_14534785730319683322,3165,True,,,
3166,14537158795197161787,location_3166_14537158795197161787,3166,True,,,
3167,14537996542718476807,location_3167_14537996542718476807,3167,True,,,
3168,14540930930890893646,location_3168_14540930930890893646,3168,True,,,
3169,14545156704854932437,location_3169_14545156704854932437,3169,True,,,
3170,14546250075410642882,location_3170_14546250075410642882,3170,True,,,
3171,14546735762022431988,location_3171_14546735762022431988,3171,True,,,
3172,14547606460133466068,location_3172_14547606460133466068,3172,True,,,
3173,14548369924295543715,location_3173_14548369924295543715,3173,True,,,
3174,14548377462480922761,location_3174_14548377462480922761,3174,True,,,
3175,14548905845839206641,location_3175_14548905845839206641,3175,True,,,
3176,14549606555236514606,location_3176_14549606555236514606,3176,True,,,
3177,14550903103090021170,location_3177_14550903103090021170,3177,True,,,
3178,14551531178049690412,location_3178_14551531178049690412,3178,True,,,
3179,14553543387364918962,location_3179_14553543387364918962,3179,True,,,
3180,14553688605668114955,location_3180_14553688605668114955,3180,True,,,
3181,14554569011679830240,location_3181_14554569011679830240,3181,True,,,
3182,1455540010432957413,location_3182_1455540010432957413,3182,True,,,
3183,14556618957682012573,location_3183_14556618957682012573,3183,True,,,
3184,14557849288739662672,location_3184_14557849288739662672,3184,True,,,
3185,14558150818970503908,location_3185_14558150818970503908,3185,True,,,
3186,14558600637724956802,location_3186_14558600637724956802,3186,True,,,
3187,14559341956067938902,location_3187_14559341956067938902,3187,True,,,
3188,14559484771359684671,location_3188_14559484771359684671,3188,True,,,
3189,14561093940018619515,location_3189_14561093940018619515,3189,True,,,
3190,14562338231670713290,location_3190_14562338231670713290,3190,True,,,
3191,1456259585248117891,location_3191_1456259585248117891,3191,True,,,
3192,14563266005761358819,location_3192_14563266005761358819,3192,True,,,
3193,14564344987169516197,location_3193_14564344987169516197,3193,True,,,
3194,14564556444895509876,location_3194_14564556444895509876,3194,True,,,
3195,14566516636013707046,location_3195_14566516636013707046,3195,True,,,
3196,14567198875852715276,location_3196_14567198875852715276,3196,True,,,
3197,14567909368490685948,location_3197_14567909368490685948,3197,True,,,
3198,14571256983560632690,location_3198_14571256983560632690,3198,True,,,
3199,14571685170963293668,location_3199_14571685170963293668,3199,True,,,
3200,14571739877759485334,location_3200_14571739877759485334,3200,True,,,
3201,14573016752508591656,location_3201_14573016752508591656,3201,True,,,
3202,14573936613611874952,location_3202_14573936613611874952,3202,True,,,
3203,14574312010596106131,location_3203_14574312010596106131,3203,True,,,
3204,14574863282685761328,location_3204_14574863282685761328,3204,True,,,
3205,14575379978619579940,location_3205_14575379978619579940,3205,True,,,
3206,14575543282847382069,location_3206_14575543282847382069,3206,True,,,
3207,1457580729992227520,location_3207_1457580729992227520,3207,True,,,
3208,14576015168053641559,location_3208_14576015168053641559,3208,True,,,
3209,14576199640039781823,location_3209_14576199640039781823,3209,True,,,
3210,14576327123489102923,location_3210_14576327123489102923,3210,True,,,
3211,14576564485288982150,location_3211_14576564485288982150,3211,True,,,
3212,14577637131218020867,location_3212_14577637131218020867,3212,True,,,
3213,14577763853441448032,location_3213_14577763853441448032,3213,True,,,
3214,14579227626522441526,location_3214_14579227626522441526,3214,True,,,
3215,14579450151758233849,location_3215_14579450151758233849,3215,True,,,
3216,14579718342467804161,location_3216_14579718342467804161,3216,True,,,
3217,14581284503687413347,location_3217_14581284503687413347,3217,True,,,
3218,14582642083258184572,location_3218_14582642083258184572,3218,True,,,
3219,1458394418098475345,location_3219_1458394418098475345,3219,True,,,
3220,14584435503410434822,location_3220_14584435503410434822,3220,True,,,
3221,14585543931713638639,location_3221_14585543931713638639,3221,True,,,
3222,14587594061230093066,location_3222_14587594061230093066,3222,True,,,
3223,14588324127502340549,location_3223_14588324127502340549,3223,True,,,
3224,14589022258681596906,location_3224_14589022258681596906,3224,True,,,
3225,14590106188697863793,location_3225_14590106188697863793,3225,True,,,
3226,1459020849032991187,location_3226_1459020849032991187,3226,True,,,
3227,14590298459533818658,location_3227_14590298459533818658,3227,True,,,
3228,14590834891459638729,location_3228_14590834891459638729,3228,True,,,
3229,14592240114470311733,location_3229_14592240114470311733,3229,True,,,
3230,14593284683301693268,location_3230_14593284683301693268,3230,True,,,
3231,14596933220221629131,location_3231_14596933220221629131,3231,True,,,
3232,14597094271561211716,location_3232_14597094271561211716,3232,True,,,
3233,14597529870268426241,location_3233_14597529870268426241,3233,True,,,
3234,14598384195440612525,location_3234_14598384195440612525,3234,True,,,
3235,14600307593621567896,location_3235_14600307593621567896,3235,True,,,
3236,14601103691910700506,location_3236_14601103691910700506,3236,True,,,
3237,14601303854415630469,location_3237_14601303854415630469,3237,True,,,
3238,14602440000032130274,location_3238_14602440000032130274,3238,True,,,
3239,14603322069411596953,location_3239_14603322069411596953,3239,True,,,
3240,14604328420794037227,location_3240_14604328420794037227,3240,True,,,
3241,1460440972097540354,location_3241_1460440972097540354,3241,True,,,
3242,14604534790220619174,location_3242_14604534790220619174,3242,True,,,
3243,14605954655662650329,location_3243_14605954655662650329,3243,True,,,
3244,14606966443957522241,location_3244_14606966443957522241,3244,True,,,
3245,14607650607133218970,location_3245_14607650607133218970,3245,True,,,
3246,14607965664089928754,location_3246_14607965664089928754,3246,True,,,
3247,14610756072159842974,location_3247_14610756072159842974,3247,True,,,
3248,14610994763328063626,location_3248_14610994763328063626,3248,True,,,
3249,14613314283598200689,location_3249_14613314283598200689,3249,True,,,
3250,14613730488711019137,location_3250_14613730488711019137,3250,True,,,
3251,14614388973914904542,location_3251_14614388973914904542,3251,True,,,
3252,1461544984076476338,location_3252_1461544984076476338,3252,True,,,
3253,14616582999695831241,location_3253_14616582999695831241,3253,True,,,
3254,14617355528448176048,location_3254_14617355528448176048,3254,True,,,
3255,1461889755361989363,location_3255_1461889755361989363,3255,True,,,
3256,14620499298981566991,location_3256_14620499298981566991,3256,True,,,
3257,14622050770639682137,location_3257_14622050770639682137,3257,True,,,
3258,14622586249870441167,location_3258_14622586249870441167,3258,True,,,
3259,14624618000908605220,location_3259_14624618000908605220,3259,True,,,
3260,14625949637926215263,location_3260_14625949637926215263,3260,True,,,
3261,14627055060924175099,location_3261_14627055060924175099,3261,True,,,
3262,14627494825597462050,location_3262_14627494825597462050,3262,True,,,
3263,1462764653895078791,location_3263_1462764653895078791,3263,True,,,
3264,14629877937014411557,location_3264_14629877937014411557,3264,True,,,
3265,14630039037573123496,location_3265_14630039037573123496,3265,True,,,
3266,14634483911251656525,location_3266_14634483911251656525,3266,True,,,
3267,14636091576834155908,location_3267_14636091576834155908,3267,True,,,
3268,14636149295306120801,location_3268_14636149295306120801,3268,True,,,
3269,14637447921187753547,location_3269_14637447921187753547,3269,True,,,
3270,1463748260512560532,location_3270_1463748260512560532,3270,True,,,
3271,14639822940196868990,location_3271_14639822940196868990,3271,True,,,
3272,14640788913635835127,location_3272_14640788913635835127,3272,True,,,
3273,14643330292876685176,location_3273_14643330292876685176,3273,True,,,
3274,14644581429223346894,location_3274_14644581429223346894,3274,True,,,
3275,14645205327494570015,location_3275_14645205327494570015,3275,True,,,
